,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10013, 1)",5289.885714285714,-316.53200000000015,-25997.485714285707,73.85142857142858,1898.2285714285717,42.072,355.542857142857,35.6536,-810.914285714286,7292.971428571429,-25.905714285714282,4.725028571428572,2.9657142857142844,4410.285714285714,-10.850857142857148,-2.8616571428571422,-30.360000000000014,-44.28457142857141,188.90857142857135,24.538285714285713
"(2010, 10022, 1)",5082.914285714285,177.0354285714285,-18357.828571428574,99.71999999999997,1701.142857142857,19.473714285714287,-3.0285714285714675,41.378971428571425,-424.91428571428514,10797.657142857144,-82.7994285714285,4.401828571428571,4.967142857142857,3833.828571428571,-9.371428571428568,0.03874285714285808,238.54285714285714,-6.06514285714286,396.1142857142857,18.194285714285712
"(2010, 10063, 1)",4838.914285714286,-927.5165714285718,-4065.1428571428587,137.57714285714286,1815.8285714285714,29.941142857142857,1534.4,48.459428571428575,1879.8285714285716,20120.114285714284,128.78342857142857,5.327085714285715,5.1974857142857145,3955.657142857143,-0.3577142857142839,3.790285714285715,350.8057142857143,65.59828571428571,523.04,41.58914285714286
"(2010, 10066, 1)",4462.628571428571,318.85714285714283,-11.542857142860157,104.7542857142857,1819.7142857142858,47.22057142857143,813.5999999999999,40.03542857142858,726.8571428571431,15068.685714285715,-20.202857142857113,4.55742857142857,3.561142857142857,3930.9714285714285,-12.884571428571425,2.9856000000000007,-87.66285714285709,8.52628571428572,391.12571428571425,26.84285714285714
"(2010, 10069, 1)",7313.714285714285,118.91999999999985,-1635.4285714285725,121.14285714285714,2257.714285714286,76.64571428571429,1636.8571428571427,54.66514285714286,3588.5714285714284,19121.14285714286,151.97714285714284,6.308,5.3994285714285715,4519.428571428572,-2.428571428571427,1.6748571428571433,196.97142857142853,85.02857142857142,539.0571428571428,47.10285714285715
"(2010, 10070, 1)",6355.314285714286,243.12914285714294,-1734.057142857142,191.5257142857143,2765.1428571428573,34.349142857142866,530.5999999999999,56.717714285714294,-3558.0,17256.057142857146,-253.3257142857143,7.341885714285715,6.427714285714286,6150.971428571429,-48.87885714285714,2.0667428571428577,172.39428571428567,29.620571428571424,782.6971428571428,36.884
"(2010, 10072, 1)",5082.171428571429,31.454285714285675,-22609.714285714275,95.86285714285714,1303.5428571428572,24.259999999999998,-307.0857142857144,15.11937142857144,-236.39999999999964,13670.971428571429,-134.19885714285715,2.9898857142857156,2.3376571428571444,3017.3142857142857,-16.250857142857143,-2.0433714285714286,-36.37714285714287,-72.77542857142859,18.560000000000002,10.34057142857143
"(2010, 10078, 1)",4706.057142857143,213.10228571428559,-3628.2285714285717,121.62857142857143,1707.2,27.21485714285715,479.3714285714286,-2.656000000000006,-2216.3428571428576,15632.514285714287,-264.5885714285714,3.0694285714285723,2.171999999999999,3491.4285714285716,-56.78342857142857,-0.7028571428571428,320.8857142857143,52.25714285714285,447.2,25.71257142857143
"(2010, 10080, 1)",1514.5714285714275,171.2828571428571,-4956.285714285716,-23.85714285714286,1649.7142857142858,-51.00285714285714,-2425.7142857142862,4.018857142857129,-9590.0,-6776.0,-629.5542857142857,3.113428571428571,3.14,3320.0,-64.06571428571428,-2.725714285714287,232.60000000000002,45.25714285714285,-341.2857142857141,-17.682857142857145
"(2010, 10088, 1)",5578.171428571429,-175.73542857142843,-25646.114285714284,75.4857142857143,1854.5714285714287,18.86,649.3714285714286,39.61702857142858,403.3714285714286,8387.542857142857,-9.990285714285733,5.272457142857144,2.8433714285714284,4738.571428571428,-10.237142857142853,-1.1930285714285738,63.25142857142856,-54.80571428571429,386.0114285714286,30.830285714285722
