,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10001, 1)",-1867.7714285714283,-8284.946285714286,-135398.45714285714,-189.3457142857143,218.5999999999999,-77.928,-4324.200000000001,-109.81322857142857,-14590.114285714284,-48005.2,-890.828857142857,-3.5688285714285746,-7.771171428571427,448.8000000000002,-13.380571428571429,-32.6584,-978.3771428571431,-121.7297142857143,29.85714285714289,-91.84257142857143
"(2010, 10002, 1)",1464.1999999999998,-3509.402857142857,-60980.257142857154,-76.81428571428575,804.5999999999999,-54.90542857142859,-3954.828571428571,-73.2674857142857,-8014.485714285716,-36231.314285714296,-559.6157142857143,-2.749828571428573,-2.7766857142857138,-0.057142857143844594,-11.424571428571436,-21.144628571428573,-793.2457142857143,-147.38685714285714,32.479999999999905,-34.63028571428572
"(2010, 10004, 1)",1529.8,-1115.4457142857143,-22369.999999999996,-47.87428571428572,109.68571428571431,-30.83542857142858,-510.2285714285713,-8.940628571428562,-1692.5999999999995,-9817.65714285714,-126.53714285714284,0.11882857142857084,-1.0857142857142863,1502.857142857143,-9.938285714285717,-6.389542857142856,-711.0942857142857,-40.25657142857142,-6.960000000000036,1.579142857142859
"(2010, 10006, 1)",369.65714285714284,-1444.3582857142858,-27110.68571428572,-104.29142857142858,-489.6857142857143,-18.345714285714294,-960.7142857142862,-31.94254285714287,-5828.485714285716,-18312.971428571425,-280.9905714285714,-0.6011142857142859,-3.369485714285714,1127.2285714285713,-28.590285714285717,-10.094342857142859,-1222.9514285714286,-66.07228571428571,-270.9885714285715,-5.700285714285712
"(2010, 10009, 1)",836.0857142857144,-1401.5045714285718,-26738.199999999997,-48.148571428571415,294.60000000000014,-10.959714285714284,-1103.6857142857143,-13.287171428571426,-3556.3142857142866,-12350.114285714284,-199.58485714285712,0.5063428571428576,-0.5662571428571428,1526.257142857143,-8.585142857142854,-6.14577142857143,-306.12285714285713,-37.3185714285714,-55.44,-11.564571428571433
"(2010, 10010, 1)",973.028571428571,-2598.506571428571,-31128.800000000003,-71.39999999999998,252.1714285714288,-40.60428571428572,-1223.4285714285716,-43.15171428571429,-4995.742857142857,-18841.57142857142,-368.60914285714284,-0.4770285714285709,-1.080114285714286,1813.0857142857142,-32.64742857142857,-9.177914285714287,-970.8800000000001,-48.055428571428564,31.78857142857146,-17.02514285714286
"(2010, 10014, 1)",701.7714285714285,-926.1788571428572,-18605.17142857143,-18.762857142857143,216.57142857142867,-5.814571428571426,-463.0000000000002,-16.31151428571429,-2198.7714285714283,-5572.885714285714,-140.8194285714286,-0.014771428571428658,-0.6501714285714284,780.6,-13.77542857142857,-4.015457142857143,-236.38000000000005,-48.116,-67.41428571428574,-12.158857142857151
"(2010, 10017, 1)",-204.45714285714257,-1534.5151428571426,-16500.228571428568,-21.988571428571447,774.3714285714286,-51.007428571428576,-1058.8857142857141,-4.375028571428572,-4951.742857142856,-8288.057142857142,-224.5642857142857,1.5624857142857138,-0.9124857142857152,2652.057142857143,-6.711428571428572,-2.235857142857143,-481.4571428571428,8.286000000000001,182.24285714285713,-10.77628571428572
"(2010, 10028, 1)",447.1428571428571,61.89285714285714,-489.5714285714289,7.668571428571427,211.9142857142857,-6.765142857142857,-224.0857142857143,-23.815771428571438,-2638.114285714286,-1512.6285714285714,-203.52057142857143,-0.01859999999999995,-0.06748571428571437,344.57142857142856,-35.48571428571429,-2.269114285714286,0.48571428571429465,1.0785714285714274,14.145714285714291,1.3111428571428574
"(2010, 10033, 1)",-1326.3142857142848,-2264.318571428571,-35301.171428571426,-114.80571428571429,20.228571428571286,-33.591428571428565,-1414.5714285714284,-19.480228571428576,-4928.228571428571,-26986.742857142854,-246.36285714285708,-0.21357142857142852,-2.6931428571428566,1460.9714285714285,-3.0765714285714285,-10.496742857142857,-671.9200000000001,-40.023142857142844,-28.44285714285718,-17.878571428571426
