,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10001, 1)",2416.114285714286,-3687.473142857143,-60999.22857142857,-0.872857142857157,1384.3,3.5360000000000014,-1027.1000000000004,-6.906614285714284,-4965.057142857142,-8402.599999999999,-285.9144285714285,2.065585714285713,-0.1855857142857138,2774.4,0.959714285714286,-12.179199999999998,-234.18857142857155,-12.864857142857147,344.92857142857144,-15.921285714285716
"(2010, 10002, 1)",4532.1,-1299.7014285714286,-23290.128571428577,62.39285714285711,1752.3,17.047285714285707,-772.4142857142856,14.366257142857151,-1007.2428571428582,-1765.6571428571478,-111.80785714285713,2.6750857142857134,2.5116571428571435,2699.971428571428,2.3877142857142815,-6.172314285714286,-134.12285714285713,-23.19342857142857,338.73999999999995,15.18485714285714
"(2010, 10004, 1)",2514.9,-362.72285714285715,-8484.999999999998,13.862857142857138,604.8428571428572,-3.4177142857142897,234.88571428571436,16.52968571428572,478.7000000000003,2041.1714285714297,4.73142857142858,1.7094142857142856,1.057142857142857,1851.4285714285716,-1.6691428571428588,-1.0947714285714278,-250.54714285714283,0.3717142857142903,131.51999999999998,14.28957142857143
"(2010, 10006, 1)",1684.8285714285714,-527.1791428571429,-10255.34285714286,-5.945714285714288,355.15714285714284,7.827142857142853,84.64285714285688,7.028728571428566,-1864.2428571428582,-2106.4857142857127,-61.4952857142857,1.5494428571428571,0.0652571428571429,1813.6142857142856,-10.695142857142859,-3.0971714285714294,-483.9757142857143,-10.536142857142856,29.505714285714248,12.149857142857144
"(2010, 10009, 1)",2418.0428571428574,-440.7522857142859,-9869.099999999999,24.925714285714292,822.3000000000001,18.520142857142858,33.157142857142844,18.356414285714287,-223.1571428571433,2374.942857142858,-19.29242857142856,2.203171428571429,1.6168714285714287,2063.1285714285714,-0.2425714285714271,-0.922885714285715,-30.561428571428564,6.840714285714299,129.78,9.717714285714283
"(2010, 10010, 1)",2886.5142857142855,-1039.2532857142855,-11764.400000000001,17.500000000000014,926.0857142857144,0.6978571428571385,143.28571428571422,8.424142857142854,-547.8714285714286,-20.785714285710128,-84.30457142857142,2.1114857142857146,1.709942857142857,2506.542857142857,-11.523714285714286,-1.738957142857143,-332.94000000000005,5.972285714285718,195.89428571428573,10.98742857142857
"(2010, 10014, 1)",1450.8857142857141,-333.0894285714286,-7602.585714285715,14.418571428571425,508.28571428571433,10.092714285714287,88.49999999999989,5.844242857142856,-399.38571428571413,1913.557142857143,-24.4097142857143,1.0926142857142858,0.7749142857142859,1090.3,-4.4877142857142855,-0.6077285714285714,-43.190000000000026,-9.058,56.29285714285713,1.9205714285714244
"(2010, 10017, 1)",1997.7714285714287,-507.2575714285713,-4050.114285714284,47.805714285714274,1187.1857142857143,-9.503714285714288,240.55714285714294,28.812485714285714,-1075.8714285714282,5255.971428571429,-5.282142857142844,3.281242857142857,1.893757142857142,3026.0285714285715,1.444285714285714,1.7820714285714283,-68.2285714285714,34.143,316.12142857142857,15.11185714285714
"(2010, 10028, 1)",823.5714285714286,95.94642857142857,555.2142857142856,15.034285714285712,305.95714285714286,0.6174285714285714,47.957142857142856,-4.907885714285719,-969.0571428571429,1593.6857142857143,-78.76028571428571,0.5407000000000001,0.5162571428571429,522.2857142857142,-16.542857142857144,-0.38455714285714304,37.74285714285715,8.039285714285715,52.072857142857146,4.655571428571429
"(2010, 10033, 1)",936.8428571428576,-937.1592857142855,-14850.585714285713,-18.20285714285714,610.1142857142856,0.2042857142857173,-177.28571428571422,12.259885714285712,-1414.1142857142854,-6443.371428571427,-49.18142857142854,1.643214285714286,0.35342857142857165,1880.4857142857143,2.0617142857142854,-3.198371428571429,-215.96000000000004,2.488428571428578,135.7785714285714,4.560714285714287
"(2010, 10040, 1)",1071.557142857143,-144.58128571428574,-5851.6,39.36428571428572,548.3285714285714,-1.361142857142859,172.42857142857156,-4.510028571428563,-2128.9999999999995,171.54285714285834,-120.13257142857142,0.9778428571428568,0.621171428571428,1399.1714285714286,-27.220000000000002,-2.263385714285714,55.50571428571428,-14.95657142857143,134.85571428571427,7.938714285714285
"(2010, 10042, 1)",-1043.1857142857139,-958.1428571428571,-15293.74285714286,-41.22428571428569,-105.67142857142858,-20.645571428571433,-532.2428571428571,-15.568100000000001,-2387.1285714285714,-9518.342857142858,-133.5377142857143,-0.5456714285714288,-1.4900571428571425,684.9285714285714,-3.7102857142857144,-3.8936285714285708,-216.2885714285714,-28.777428571428565,33.68142857142857,-9.129999999999995
"(2010, 10045, 1)",3529.1857142857148,-378.10314285714253,-8259.028571428571,45.93142857142854,1621.642857142857,23.682571428571435,201.0142857142855,34.00124285714286,409.44285714285706,12523.442857142856,-20.217714285714294,2.751571428571429,2.8632571428571425,3244.1,1.1177142857142872,1.8991571428571428,-105.98571428571427,35.44728571428572,-68.59714285714279,17.84385714285714
"(2010, 10046, 1)",3094.4285714285716,-597.4214285714286,-10778.728571428568,27.49428571428571,1028.0142857142857,13.965857142857143,381.2142857142858,19.12954285714286,-1344.7714285714283,-1047.914285714287,-38.80342857142858,2.8284714285714294,2.192785714285714,2524.0,-11.416285714285715,-2.094314285714286,-48.574285714285736,12.527142857142849,182.3871428571428,16.281285714285712
"(2010, 10049, 1)",362.1857142857143,-320.60057142857136,-7572.185714285713,2.520000000000003,159.70000000000005,-4.4112857142857145,-70.98571428571427,0.5811857142857129,-839.6571428571431,-2020.614285714285,-33.270714285714305,0.49704285714285723,0.01742857142857157,609.4285714285714,-4.276999999999999,-1.3959142857142857,-51.06857142857143,-23.58257142857142,5.548571428571421,2.580285714285715
"(2010, 10050, 1)",84.11428571428564,-394.99285714285725,-8754.9,-18.671428571428574,139.51428571428573,0.7944285714285684,-215.74285714285713,-1.7233571428571413,-859.6571428571431,-2055.4571428571417,-49.51642857142856,0.3200428571428572,-0.2490714285714284,510.42857142857144,-4.2187142857142845,-1.2055714285714283,-122.32857142857142,-24.110714285714288,-66.06428571428569,-0.7430000000000003
"(2010, 10051, 1)",1172.3571428571427,-291.2812857142857,-7406.557142857144,35.82714285714286,566.0428571428572,-2.2951428571428565,198.9142857142857,9.15824285714286,-763.7142857142853,2143.6571428571433,-17.53771428571426,1.5766142857142857,1.0383714285714285,1678.8428571428572,-3.356857142857142,-0.5403571428571423,-29.840000000000003,-8.142714285714284,204.28285714285715,5.105142857142855
"(2010, 10052, 1)",831.8142857142857,-595.5407142857143,-11225.114285714288,-31.042857142857144,925.6714285714286,-11.44885714285715,-795.9857142857145,22.651257142857144,-1857.5142857142864,-2189.7000000000007,-115.34257142857143,2.1533571428571427,1.619357142857143,2239.342857142857,3.1914285714285713,-1.3053428571428567,6.1299999999999955,6.931714285714293,-146.8171428571428,0.758857142857142
"(2010, 10055, 1)",1928.2714285714292,-1257.846714285714,-15077.942857142858,6.770000000000024,904.0428571428571,1.3714285714285595,-431.2285714285713,17.064071428571424,-3642.814285714284,-9575.499999999996,-165.84728571428576,2.832828571428572,1.8830714285714283,2537.114285714286,-8.53542857142857,-3.112799999999999,-85.16857142857145,1.6802857142857022,129.95714285714286,-1.9869999999999948
